DOE_ID,DOE_Type,DataSplit,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,ProposalFeasibilityScore,NearestPriorDistance,Rmax_analytic_design
139,LowTemperatureChallenge,Train,57.5515634385236,24.1300562261914,40.3811390638116,0.505640734238473,0.555232452371369,0.15173676448877,0.52702904139319
140,LowTemperatureChallenge,Validation,58.2804969921246,26.6416715521171,40.7346392002995,0.511476795586205,0.88620602595043,0.0234522254358107,0.520399791942783
141,LowTemperatureChallenge,Train,53.468259432993,22.5912320690268,38.5334466177124,0.503465012129673,0.576255214789137,0.155438062969302,0.56750669543915
142,LowTemperatureChallenge,Test,51.9276924631785,25.2840974850672,38.8709955860882,0.550054112600727,0.629356353800356,0.133234774991813,0.56827379233421
143,LowTemperatureChallenge,Test,56.0497381458841,24.147864106144,39.2660343533214,0.521119806712005,0.670346152788543,0.103496324040244,0.541230910064296
144,LowTemperatureChallenge,Test,51.8166220535,24.1087944699449,38.6698940524875,0.512471509071111,0.592385291647759,0.119838044047801,0.570520736843715
145,LowTemperatureChallenge,Train,51.5270501822367,26.4220790287801,39.3539089404656,0.52328741743513,0.562890880973886,0.123896408943344,0.562878112397032
146,LowTemperatureChallenge,Test,53.425056112858,26.3394722394861,39.1755990841963,0.561871462000302,0.568142085136036,0.0813356567354055,0.564870401293896
147,LowTemperatureChallenge,Train,57.7033208917998,23.8257425711425,39.3509891185541,0.519776177841679,0.729117089901219,0.1370243763778,0.525635085963223
148,LowTemperatureChallenge,Train,53.7964278444812,21.0137190885278,38.9000624211183,0.535087886365375,0.568101952011042,0.135986596641917,0.564026496409451
149,LowTemperatureChallenge,Train,57.4337443263163,26.7971292540565,39.0042961473949,0.452536156187911,0.592492300383386,0.108021451478094,0.528116338622954
150,LowTemperatureChallenge,Train,57.8198104637578,24.4931952886957,38.6689927535604,0.45647226692525,0.696941485477953,0.0766233703968846,0.524570044857209
151,LowTemperatureChallenge,Validation,57.6873446404128,26.9920958746906,39.8398505896346,0.515388267510654,0.852583782463666,0.124272725200769,0.525781489079504
