DOE_ID,ScanLevel,P1_MPa,P2_MPa,W_kW,Cp_mg_L,Recovery,RecoveryError,TargetMet,PhysicalFeasible,Success,RootEvalCount,Runtime_s,FailureReason,SelectedBest
955,refine1,5.7333549943792,6.04530189439755,81.1592685673824,497.612004562797,0.460039887953525,4.23229301604877e-09,1,1,1,14,10.2933515,,0
955,refine1,5.7414262050887,6.03961368760824,80.9896415550146,497.933893611525,0.460039889407365,5.68613278684182e-09,1,1,1,14,10.1417061,,0
955,refine1,5.7494974157982,6.03392265105708,80.8206685070563,498.2556673895,0.460039889622278,5.90104642927969e-09,1,1,1,14,10.4595316,,0
955,refine1,5.7575686265077,6.02822858522043,80.652345096029,498.577315989945,0.460039889728531,6.00729888056151e-09,1,1,1,14,10.2176941,,0
955,refine1,5.7656398372172,6.02253126783839,80.5317959072044,498.898830047514,0.460039889741435,6.02020261419867e-09,1,1,1,14,10.6612151,,0
955,refine1,5.7737110479267,6.01683047027645,80.5487074477763,499.220199929276,0.460039889675009,5.95377669387886e-09,1,1,1,14,10.3377304,,0
955,refine1,5.7817822586362,6.01112606585981,80.5663135686513,499.541410510252,0.460039896795023,1.30737912718004e-08,1,1,1,13,7.6069884,,0
955,refine1,5.7898534693457,6.0054175937686,80.5846098918953,499.862462108159,0.460039896489228,1.2767995605234e-08,1,1,1,13,7.5117845,,0
955,refine1,5.7979246800552,5.99970491407054,80.6035957899921,500.183338979075,0.460039896070736,1.23495042525512e-08,1,0,1,13,7.2220273,,0
955,refine2,5.7575686265077,6.02822858522043,80.652345096029,498.577315989945,0.460039889728531,6.00729888056151e-09,1,1,1,14,10.7617578,,0
955,refine2,5.75837574757865,6.02765900352355,80.6355482996915,498.609473606948,0.46003988973378,6.01254790399963e-09,1,1,1,14,10.6643427,,0
955,refine2,5.7591828686496,6.02708938909079,80.6187579465992,498.641629869236,0.460039889738113,6.01688077139784e-09,1,1,1,14,10.6361731,,0
955,refine2,5.75998998972055,6.02651974169576,80.6019740318617,498.673784767262,0.460039889741541,6.02030852947522e-09,1,1,1,14,10.5656039,,0
955,refine2,5.7607971107915,6.02595006111148,80.5851965505811,498.705938291469,0.46003988974408,6.02284805362174e-09,1,1,1,14,10.8980345,,0
955,refine2,5.76160423186245,6.0253803471103,80.5684254978508,498.738090432268,0.460039889745746,6.02451355469213e-09,1,1,1,14,10.5201267,,0
955,refine2,5.7624113529334,6.02481059946393,80.5516608687544,498.77024118004,0.460039889746547,6.02531535776052e-09,1,1,1,14,11.9600296,,0
955,refine2,5.76321847400435,6.02424081794349,80.534902658368,498.802390525134,0.460039889746507,6.02527450155321e-09,1,1,1,14,11.780232,,0
955,refine2,5.7640255950753,6.02367100231934,80.5284969647205,498.834538457885,0.46003988974563,6.02439759189721e-09,1,1,1,14,12.2260466,,0
955,refine2,5.76483271614625,6.02310115236127,80.5301429589659,498.866684968585,0.460039889743935,6.02270328053933e-09,1,1,1,14,12.090399,,0
955,refine2,5.7656398372172,6.02253126783839,80.5317959072044,498.898830047514,0.460039889741435,6.02020261419867e-09,1,1,1,14,12.2235854,,0
955,refine2,5.76644695828815,6.02196134851914,80.5334558075663,498.930973684915,0.46003988973814,6.0169084714623e-09,1,1,1,14,12.1499124,,0
955,refine2,5.7672540793591,6.02139139417133,80.5351226581824,498.963115870999,0.460039889734068,6.01283589585222e-09,1,1,1,14,12.5378261,,0
955,refine2,5.76806120043005,6.0208214045621,80.5367964571825,498.995256595961,0.460039889729231,6.0079994868012e-09,1,1,1,14,12.5389393,,0
