DOE_ID,RootRescued,BestW_N30_kW,BestP1_N30_MPa,BranchScreenFlag,SeedStagnationFlag,RepairRequested,Repaired,PowerReduction_kW
189,0,NaN,NaN,0,0,0,0,0
190,0,108.885412072947,5.26946186422084,0,0,0,0,0
191,0,NaN,NaN,0,0,0,0,0
192,0,NaN,NaN,0,0,0,0,0
193,0,98.8343595074601,5.90878821489826,0,0,0,0,0
194,0,105.299776086457,5.31584204069951,0,0,0,0,0
195,0,98.7463732262637,5.28598040238978,0,0,0,0,0
196,0,NaN,NaN,0,0,0,0,0
197,0,NaN,NaN,0,0,0,0,0
198,0,100.637646140373,5.87043160258084,0,0,0,0,0
199,0,NaN,NaN,0,0,0,0,0
200,0,96.7667033820159,4.7464886354973,1,0,1,0,0
201,0,88.1221930685009,5.30789905634852,0,0,0,0,0
202,0,109.435024506913,4.79753541489581,0,0,0,0,0
203,0,NaN,NaN,0,0,0,0,0
204,0,NaN,NaN,0,0,0,0,0
205,0,NaN,NaN,0,0,0,0,0
206,0,NaN,NaN,0,0,0,0,0
207,0,NaN,NaN,0,0,0,0,0
208,0,NaN,NaN,0,0,0,0,0
209,0,NaN,NaN,0,0,0,0,0
210,0,NaN,NaN,0,0,0,0,0
211,0,93.0140605153398,6.47885513317909,0,0,0,0,0
212,0,NaN,NaN,0,0,0,0,0
213,0,NaN,NaN,0,0,0,0,0
214,0,97.3697091557782,5.30128211763312,0,0,0,0,0
215,0,83.7565898037487,5.26641444671425,0,0,0,0,0
216,0,NaN,NaN,0,0,0,0,0
217,0,NaN,NaN,0,0,0,0,0
218,0,NaN,NaN,0,0,0,0,0
219,0,NaN,NaN,0,0,0,0,0
220,0,NaN,NaN,0,0,0,0,0
221,0,NaN,NaN,0,0,0,0,0
222,0,108.909921073718,6.48126206046917,0,0,0,0,0
223,0,90.2988443442813,5.27611979763641,0,0,0,0,0
224,0,NaN,NaN,0,0,0,0,0
225,0,NaN,NaN,0,0,0,0,0
226,0,NaN,NaN,0,0,0,0,0
227,0,NaN,NaN,0,0,0,0,0
228,0,95.3961323391813,4.70996948820003,1,0,1,0,0
229,0,80.6607098105403,5.31694517900614,0,0,0,0,0
230,0,99.5421803273329,6.4771892646933,0,0,0,0,0
231,0,NaN,NaN,0,0,0,0,0
232,0,94.8545689124257,4.65700626922204,0,0,0,0,0
233,0,NaN,NaN,0,0,0,0,0
