Qf_train_m3h,T_RO_in_C,Cf_kg_m3,candidate_count,feasible_count,best_R_target_min_SEC,best_Qp_train_m3h,best_W_RO_train_kW,best_SEC_kWh_m3,best_Cp_mg_L,best_P1_opt_gauge_MPa,best_P2_opt_gauge_MPa,best_P_feasible
53.7,36,38.8,35,26,0.555,29.8035,102.529866675817,3.44019550307235,500,5.84764926942528,7.37628338296387,0.906682079312354
55.25,36,38.8,35,27,0.54,29.835,97.3317898988249,3.26233584376822,500,6.0795436580844,7.04899351823665,0.999176824661007
56.8,36,38.8,35,29,0.51,28.968,90.0149270914879,3.10739184933333,500,6.07523984823666,6.61230563579846,0.999830675137282
58.35,36,38.8,35,29,0.485,28.29975,84.8197249234847,2.99718990180071,498.375470223231,6.03888227800179,6.2919077760785,0.999896759345393
59.9,36,38.8,35,28,0.445,26.6555,79.5672662723092,2.98502246336813,498.40217738814,5.71075841222879,5.98928564402274,0.999245605098738
61.45,36,38.8,35,27,0.44,27.038,82.0189228293926,3.03346855645361,488.244909974179,5.72805153960883,5.97219575127479,0.914789492437213
63,36,38.8,35,17,0.49,30.87,97.4943765185343,3.15822405307853,454.708713532431,6.13372068525737,6.54008395608873,0.836052603362079
47.5,36.5,38.8,35,9,0.54,25.65,118.777443071667,4.6306995349578,500,4.08435248856522,7.84925286656579,0.830810391716218
49.05,36.5,38.8,35,18,0.55,26.9775,113.234881924256,4.19738233432513,500,4.58461786769397,7.78202097441582,0.87951231986062
50.6,36.5,38.8,35,21,0.55,27.83,108.327189627394,3.89246099990636,500,4.98477870640327,7.61972668186848,0.911750523668483
52.15,36.5,38.8,35,24,0.55,28.6825,104.367069918997,3.63870199316645,500,5.37894052784746,7.45965095619407,0.953827119321627
53.7,36.5,38.8,35,26,0.555,29.8035,102.141676451983,3.42717051527448,500,5.83268859061503,7.350398650878,0.878896886444777
55.25,36.5,38.8,35,28,0.54,29.835,97.0315141486963,3.25227129709054,500,6.05736286168227,7.02779394359878,0.999122804970054
56.8,36.5,38.8,35,29,0.51,28.968,89.8202496972256,3.10067142009202,500,6.05205313727595,6.59441617194209,0.999842445078802
58.35,36.5,38.8,35,29,0.48,28.008,83.7224108411269,2.98923203517306,499.730367880032,5.96528873396542,6.23384757789053,0.999922668366407
59.9,36.5,38.8,35,29,0.445,26.6555,79.3394274847588,2.97647492955521,498.376509357892,5.69222577255001,5.97003813575959,0.999372479718067
61.45,36.5,38.8,35,28,0.435,26.73075,80.8168277425271,3.02336551509131,490.591813335908,5.67141281607338,5.90871841367837,0.819329311986538
63,36.5,38.8,35,17,0.49,30.87,97.6930436608568,3.16465965859595,454.008060242899,6.08369852481573,6.5331616562779,0.84805828619755
47.5,37,38.8,35,8,0.54,25.65,117.946704314932,4.59831205906168,500,4.08320632763993,7.80813409952993,0.85961455497329
49.05,37,38.8,35,18,0.55,26.9775,112.549044799164,4.17195977385466,500,4.57983125473319,7.74514154023337,0.886292780751061
50.6,37,38.8,35,21,0.55,27.83,107.75881602676,3.8720379456256,500,4.97628265226148,7.58696683164917,0.904683445922525
52.15,37,38.8,35,24,0.55,28.6825,103.902486067552,3.62250452601941,500,5.36656344007905,7.43135237074262,0.942402865092627
53.7,37,38.8,35,27,0.55,29.535,100.842978214749,3.41435511138478,500,5.76001386719402,7.27136957539499,0.978557862698579
55.25,37,38.8,35,28,0.535,29.55875,95.8888070413588,3.24400751186565,500,5.98567302251419,6.95486972827571,0.999504173663161
56.8,37,38.8,35,30,0.51,28.968,89.6913828081285,3.09622282546701,500,6.0275092704354,6.57864914916506,0.99985435759797
58.35,37,38.8,35,29,0.48,28.008,83.500744106998,2.9813176273564,499.810126888924,5.9450616150804,6.21740757191853,0.999931913782147
59.9,37,38.8,35,29,0.445,26.6555,79.1261160084266,2.96847239813271,498.370015890418,5.67401682606193,5.95138333032202,0.999474188462095
61.45,37,38.8,35,28,0.44,27.038,81.5015796167401,3.01433462596124,487.481090438175,5.66265935255456,5.94864045134039,0.926532686738497
63,37,38.8,35,17,0.49,30.87,97.880865571623,3.17074394465899,453.40309898912,6.03749027716208,6.5263162405238,0.856175536817455
47.5,37.5,38.8,35,8,0.54,25.65,117.143905836478,4.56701387276716,500,4.08187779901835,7.76823541397226,0.876376423007159
49.05,37.5,38.8,35,18,0.55,26.9775,111.886528729552,4.14740167656574,500,4.57492756129171,7.70936679523709,0.891987237285771
50.6,37.5,38.8,35,21,0.55,27.83,107.210088349689,3.85232081745201,500,4.96765925810938,7.55518958334514,0.896929496015792
52.15,37.5,38.8,35,24,0.55,28.6825,103.454210988445,3.60687565548487,500,5.35414422721903,7.40385749009184,0.927433234734243
53.7,37.5,38.8,35,26,0.55,29.535,100.473817754588,3.40185602690326,500,5.74517831016848,7.24695731196,0.971726753654812
55.25,37.5,38.8,35,28,0.535,29.55875,95.5740470472509,3.23335888856095,500,5.96559939135879,6.93343777196351,0.999490787999138
56.8,37.5,38.8,35,30,0.505,28.684,88.6165600334063,3.08940733626434,500,5.94774200860804,6.51960409923228,0.999899359914434
58.35,37.5,38.8,35,30,0.48,28.008,83.3132825058901,2.97462448250107,499.876420830217,5.92405101082179,6.20226657232953,0.999940677137295
59.9,37.5,38.8,35,29,0.445,26.6555,78.9268450825713,2.96099660792599,498.383130877744,5.65616186857938,5.93331888261923,0.999558908229156
61.45,37.5,38.8,35,28,0.445,27.34525,82.1672902206549,3.0048103499019,485.466457326315,5.67619196198714,5.97446783740094,0.966343173301819
63,37.5,38.8,35,17,0.49,30.87,98.0465661672281,3.17611163483084,452.795875984344,5.99431447253845,6.51968095228835,0.861444123535338
47.5,38,38.8,35,7,0.54,25.65,116.36791922416,4.53676098339805,500,4.0804169888602,7.72947219197833,0.886379303059769
